Galleria_mellonella	Achroia_grisella	Amyelois_transitella	Bombyx_mori	Danaus_plexippus	Helicoverpa_armigera	Ostrinia_nubilalis	Plodia_interpunctella	Plutella_xylostella	Manduca_sexta	Arctopsyche_grandis
gene-AT056_gt01	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt02	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt03	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp13	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt04	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt05	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt06	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp12	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt07	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp11	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt08	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt09	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp10	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp09	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp08	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt10	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp07	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt11	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt12	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt13	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt14	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt15	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt16	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp06	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt17	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp05	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp04	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt18	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt19	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp03	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp02	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt20	.	.	.	.	.	.	.	.	.	.
gene-AT056_gp01	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt21	.	.	.	.	.	.	.	.	.	.
gene-AT056_gr02	.	.	.	.	.	.	.	.	.	.
gene-AT056_gt22	.	.	.	.	.	.	.	.	.	.
gene-AT056_gr01	.	.	.	.	.	.	.	.	.	.
gene-LOC128200324	gene-LOC131854140	gene-LOC132904444	gene-LOC105842720	gene-LOC116767320	gene-LOC110379491	gene-LOC135072091	gene-LOC128683452	gene-LOC119693672	gene-LOC115442556	.
gene-LOC113511361	gene-LOC131854140	gene-LOC106140473	gene-LOC101739938	gene-LOC116767320	gene-LOC110379497	gene-LOC135072091	gene-LOC128683446	gene-LOC119693672	gene-LOC119189587	gene-dom
gene-LOC113510420	gene-LOC131854142	gene-LOC106139526	gene-LOC101739802	gene-LOC116767559	gene-Tpst	gene-LOC135072092	gene-LOC128683641	gene-LOC105394176	gene-LOC115448064	gene-Tpst
gene-LOC113510419	gene-LOC131854125	gene-LOC106139527	gene-LOC101745169	gene-LOC116767457	gene-LOC110379499	gene-LOC135072093	gene-LOC128683448	gene-LOC119693713	gene-LOC115448065	gene-mthl1
gene-LOC128200635	.	.	.	.	.	.	.	.	.	.
gene-LOC128202029	.	.	.	.	.	.	.	.	.	.
gene-LOC113519505	gene-LOC131854143	.	gene-UGT48C1	gene-LOC116767771	gene-LOC110379494	gene-LOC135072185	gene-LOC128683449	.	gene-LOC115448060	.
gene-LOC128200284	gene-LOC131854137	gene-LOC106139022	gene-LOC101745314	gene-LOC116767602	gene-LOC110379493	gene-LOC135072186	gene-LOC128683455	gene-LOC119693626	gene-LOC115448057	.
gene-LOC113517728	gene-LOC131854147	gene-LOC106139019	gene-LOC101735404	gene-LOC116767601	gene-LOC110379495	gene-LOC135071587	gene-LOC128683447	gene-LOC105384168	gene-LOC115448066	gene-LOC143908965
gene-LOC128201989	.	.	.	.	.	.	.	.	.	.
gene-LOC116413405	gene-LOC131854118	gene-LOC106139021	gene-LOC101745456	gene-LOC116767766	gene-LOC110379502	gene-LOC135072189	gene-LOC128683481	gene-LOC105384144	gene-LOC115448067	gene-LOC143908967
gene-LOC113517675	gene-LOC131854111	gene-LOC106139023	gene-LOC101745698	gene-LOC116767799	gene-LOC110379490	gene-LOC135071589	gene-LOC128683482	gene-LOC105384167	gene-LOC115448055	gene-LOC143908968
gene-Trnas-uga	.	.	.	.	.	.	.	.	.	.
gene-Trnas-uga-2	.	.	.	.	.	.	.	.	.	.
gene-LOC113522305	gene-LOC131854122	gene-LOC106142375	gene-LOC101745986	gene-LOC116767175	gene-LOC110379489	gene-LOC135071591	gene-LOC128683444	gene-LOC105380445	gene-LOC115448056	.
gene-LOC113515733	gene-LOC131854123	gene-LOC106142376	gene-LOC101745847	gene-LOC116767176	gene-LOC110379488	gene-LOC135071590	gene-LOC128683718	gene-LOC105380386	gene-LOC115448061	gene-LOC143920198
gene-LOC113510224	gene-LOC131854148	gene-LOC106142374	gene-LOC101735537	gene-LOC116767174	gene-LOC110379500	gene-LOC135072094	gene-LOC128683714	gene-LOC105386957	gene-LOC115451990	gene-Vps13D
gene-LOC113510225	gene-LOC131854124	gene-LOC106139138	gene-LOC101735678	gene-LOC116767322	gene-LOC110379492	gene-LOC135071593	gene-LOC128683445	gene-LOC105386928	gene-LOC115451989	gene-LOC143919565
gene-LOC113522215	gene-LOC131854149	gene-LOC106139140	gene-LOC101735819	gene-LOC116767318	gene-LOC110379506	gene-LOC135071595	gene-LOC128683717	gene-LOC105386958	gene-LOC115451988	.
gene-LOC113522225	gene-LOC131854113	gene-LOC106139131	gene-LOC101746129	gene-LOC116767230	gene-LOC110379505	gene-LOC135072095	gene-LOC128683716	gene-LOC105386929	gene-LOC115451993	gene-LOC143919559
gene-LOC113513787	gene-LOC131854112	gene-LOC106139130	gene-Nc	gene-LOC116767229	gene-LOC110379504	gene-LOC135071598	gene-LOC128683715	gene-LOC105386930	gene-LOC115451992	.
gene-LOC113515734	gene-LOC131854117	gene-LOC106139139	gene-LOC101746272	gene-LOC116767752	gene-LOC110374866	gene-LOC135071604	gene-LOC128683983	gene-LOC105386932	gene-LOC115451996	gene-LOC143921335
gene-LOC113514742	gene-LOC131854150	gene-LOC106139129	gene-LOC101735951	gene-LOC116767516	gene-LOC110374881	gene-LOC135072096	gene-LOC128683479	gene-LOC125488507	gene-LOC115450675	gene-l(3)80Fj
gene-LOC113518649	.	.	.	.	.	.	.	gene-LOC105388622	.	.
gene-LOC113514743	gene-LOC131854121	gene-LOC106139134	gene-LOC101736079	gene-LOC116767677	gene-LOC110374902	gene-LOC135072190	gene-LOC128683721	gene-LOC105388641	gene-LOC115450677	.
gene-LOC113510062	gene-LOC131854119	gene-LOC106139128	gene-LOC105841811	gene-LOC116767552	gene-Sprt	gene-LOC135072097	gene-LOC128683807	gene-LOC105388650	gene-LOC115450664	gene-sprt
gene-LOC128200974	.	.	.	.	.	.	.	.	.	.
gene-LOC113517190	gene-LOC131854120	gene-LOC106139137	gene-LOC101746408	gene-LOC116767553	gene-LOC110374880	gene-LOC135072099	gene-LOC128683808	gene-LOC105390934	gene-LOC115450665	.
gene-LOC113517188	gene-LOC131854115	gene-LOC106139136	gene-LOC100101162	gene-LOC116767554	gene-LOC110374857	gene-LOC135071601	gene-LOC128683810	gene-LOC105390920	gene-LOC115450666	gene-LOC143921334
gene-LOC113521134	gene-LOC131854131	gene-LOC106139135	gene-LOC101746688	gene-LOC116767560	gene-Prp19	gene-LOC135071600	gene-LOC128683809	gene-LOC105387829	gene-LOC115450676	gene-Prp19
gene-LOC113521133	gene-LOC131854153	gene-LOC106139127	gene-LOC101736218	gene-LOC116767345	gene-LOC110374879	gene-LOC135072100	gene-LOC128683638	gene-LOC105396511	gene-LOC115450661	.
gene-LOC113512250	gene-LOC131854126	gene-LOC106141787	gene-LOC101736349	gene-LOC116767316	gene-LOC110374871	gene-LOC135071605	gene-LOC128683421	gene-LOC105382947	gene-LOC115450662	gene-BTBD9
gene-LOC113522129	gene-LOC131854129	gene-LOC106130125	gene-LOC101746927	gene-LOC116767655	gene-LOC110374873	gene-LOC135071603	gene-LOC128683422	gene-LOC105382948	gene-LOC115450669	.
gene-LOC113520124	gene-LOC131854134	gene-LOC106130126	gene-LOC101747060	gene-LOC116767647	gene-LOC110374875	gene-LOC135071607	gene-LOC128683423	gene-LOC105382950	gene-LOC115450670	gene-PGAP3
gene-LOC113510903	gene-LOC131854130	gene-LOC106130115	gene-LOC101735536	gene-LOC116767315	gene-LOC110374870	gene-LOC135072101	gene-LOC128683420	gene-LOC125489101	gene-LOC115450668	.
gene-LOC113510901	gene-LOC131854128	gene-LOC106130116	gene-LOC101735677	gene-LOC116767758	gene-LOC110374869	gene-LOC135071608	gene-LOC128683754	gene-LOC105382911	gene-LOC115450667	.
gene-LOC113510902	gene-LOC131854138	gene-LOC106130117	gene-LOC101735818	gene-LOC116767314	.	gene-LOC135071622	gene-LOC128683512	.	gene-LOC115450672	.
gene-LOC113514705	gene-LOC131854127	gene-LOC106130123	gene-LOC101736469	gene-LOC116767640	gene-LOC110374872	gene-LOC135072103	gene-LOC128683623	gene-LOC119693707	gene-LOC115451468	gene-Drep2
gene-LOC113521033	gene-LOC131854135	gene-LOC106130127	gene-LOC101736603	gene-LOC116767639	gene-LOC110374867	gene-LOC135072102	gene-LOC128683614	gene-LOC105382951	gene-LOC115451466	gene-Hsepi
gene-LOC113513443	gene-LOC131854133	gene-LOC106130120	gene-LOC101735950	gene-LOC116767277	gene-LOC110374863	gene-LOC135071618	gene-LOC128683263	gene-LOC105382914	gene-LOC115451464	.
gene-LOC113520010	gene-LOC131843219	gene-LOC106130119	gene-LOC101736743	gene-LOC116767276	gene-LOC110374862	gene-LOC135071612	gene-LOC128683258	gene-LOC105382917	gene-LOC115451469	.
gene-LOC113520184	gene-LOC131843217	gene-LOC106130118	gene-LOC101736870	gene-LOC116767650	gene-LOC110374886	gene-LOC135071609	gene-LOC128683250	gene-LOC105382916	gene-LOC115451470	.
gene-LOC113520186	gene-LOC131843218	gene-LOC106130122	gene-LOC101736166	gene-LOC116767387	gene-LOC110374887	gene-LOC135071611	gene-LOC128683269	gene-LOC105382915	gene-LOC115451465	.
gene-LOC113513332	.	gene-LOC106142273	gene-LOC105841880	gene-LOC116767215	gene-Mmd	gene-LOC135072104	gene-LOC128683919	gene-LOC105382920	gene-LOC115442556	.
